Date,Time,Open,High,Low,Close,Volume
2012.09.18,12:00,1.6236,1.6261,1.6229,1.6234,7078
2012.09.18,16:00,1.6235,1.6267,1.6227,1.6246,3995
2012.09.18,20:00,1.6245,1.6249,1.6235,1.6238,3139
2012.09.19,0:00,1.6239,1.6245,1.6232,1.6234,2806
2012.09.19,4:00,1.6236,1.6266,1.6232,1.6263,3194
2012.09.19,8:00,1.6264,1.6271,1.621,1.6218,4691
2012.09.19,12:00,1.6217,1.6226,1.6183,1.6208,4801
2012.09.19,16:00,1.6209,1.6236,1.6208,1.6215,10281
2012.09.19,20:00,1.6217,1.623,1.6212,1.622,4997
2012.09.20,0:00,1.6222,1.6236,1.6217,1.6221,3635
2012.09.20,4:00,1.6223,1.6227,1.6185,1.6187,7151
2012.09.20,8:00,1.6188,1.6201,1.6162,1.6195,13125
2012.09.20,12:00,1.6194,1.6202,1.6169,1.6175,11015
2012.09.20,16:00,1.6176,1.6207,1.617,1.6192,2083
2012.09.20,20:00,1.6191,1.6218,1.6188,1.6213,1521
2012.09.21,0:00,1.6214,1.6228,1.6211,1.6221,1343
2012.09.21,4:00,1.622,1.6265,1.622,1.6256,1512
2012.09.21,8:00,1.6257,1.6308,1.6227,1.6275,2292
2012.09.21,12:00,1.6274,1.6294,1.6253,1.6292,2430
2012.09.21,16:00,1.6293,1.6295,1.6232,1.6254,7833
2012.09.21,20:00,1.6256,1.6257,1.6226,1.6226,3109
2012.09.24,16:00,1.6195,1.6213,1.6181,1.6203,5299
2012.09.24,20:00,1.6202,1.6232,1.6199,1.622,3779
2012.09.25,0:00,1.6221,1.6232,1.6218,1.6226,3221
2012.09.25,4:00,1.6227,1.624,1.622,1.6222,4321
2012.09.25,8:00,1.6223,1.6268,1.6214,1.6231,8027
2012.09.25,12:00,1.623,1.6265,1.6213,1.6236,7986
2012.09.25,16:00,1.6238,1.6262,1.621,1.622,7229
2012.09.25,20:00,1.6222,1.6224,1.6181,1.6195,5758
2012.09.26,0:00,1.6194,1.621,1.6185,1.6199,3920
2012.09.26,4:00,1.62,1.6205,1.6148,1.616,5149
2012.09.26,8:00,1.6161,1.6203,1.6149,1.6177,7587
2012.09.26,12:00,1.6176,1.6196,1.615,1.6162,7640
2012.09.26,16:00,1.6161,1.6178,1.6136,1.6146,8085
2012.09.26,20:00,1.6147,1.6171,1.6145,1.6167,4043
2012.09.27,0:00,1.6166,1.6193,1.6165,1.6189,3961
2012.09.27,4:00,1.6191,1.6198,1.6175,1.6193,4102
2012.09.27,8:00,1.6194,1.6218,1.6164,1.6207,7202
2012.09.27,12:00,1.6208,1.6235,1.6194,1.6222,7472
2012.09.27,16:00,1.6221,1.624,1.6171,1.6233,8930
2012.09.27,20:00,1.6232,1.6242,1.6229,1.6234,2851
2012.09.28,0:00,1.6233,1.6243,1.6225,1.6238,2089
2012.09.28,4:00,1.6237,1.6263,1.6237,1.6255,3266
2012.09.28,8:00,1.6256,1.6271,1.6207,1.6219,6219
2012.09.28,12:00,1.6218,1.6226,1.614,1.6143,9024
2012.09.28,16:00,1.6142,1.6164,1.6111,1.6149,9993
2012.09.28,20:00,1.615,1.6167,1.6121,1.6164,3894
2012.10.01,0:00,1.6152,1.6157,1.6113,1.6121,4905
2012.10.01,4:00,1.612,1.6133,1.6107,1.613,3699
2012.10.01,8:00,1.6132,1.6166,1.6128,1.6149,8997
2012.10.01,12:00,1.615,1.6163,1.6128,1.6137,7511
2012.10.01,16:00,1.6139,1.6175,1.6121,1.6138,8952
2012.10.01,20:00,1.614,1.6141,1.612,1.6129,3909
2012.10.02,0:00,1.613,1.6136,1.6123,1.6133,2249
2012.10.02,4:00,1.6134,1.6163,1.6128,1.6162,3045
2012.10.02,8:00,1.616,1.617,1.6135,1.6158,4896
2012.10.02,12:00,1.6157,1.6168,1.6131,1.6148,5223
